Время от начала полета (секунды),Высота над уровнем моря (метры),Масса корабля (тонны),Тангаж / угол наклона (градусы),Орбитальная скорость (м/с),Скорость относительно поверхности (м/с),Общая скорость (м/с),Апогейное расстояние (метры)
0.11,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.22,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.32,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.43,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.53,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.63,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.73,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.84,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
0.95,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.05,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.15,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.26,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.37,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.47,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.58,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.68,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.79,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
1.90,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
2.01,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
2.11,78.6,44892.19,90.0,175.0,0.0,0.0,78.6
2.21,78.6,44885.07,90.0,175.0,0.0,0.0,78.6
2.32,78.7,44863.70,90.0,175.0,0.0,0.0,78.7
2.43,78.6,44828.09,90.0,175.0,0.0,0.0,78.6
2.53,78.7,44785.36,90.0,175.0,0.0,0.0,78.7
2.64,78.7,44749.75,90.0,175.0,0.0,0.0,78.7
2.75,78.7,44721.27,90.0,175.0,0.0,0.0,78.7
2.85,78.7,44692.78,90.0,175.0,0.0,0.0,78.7
2.96,78.7,44650.05,90.0,175.0,0.0,0.0,78.7
3.06,78.7,44628.68,90.0,175.0,0.0,0.0,78.7
3.17,78.7,44607.32,90.0,175.0,0.0,0.0,78.8
3.27,78.8,44585.95,90.0,175.0,0.0,0.0,79.0
3.38,79.1,44550.34,90.0,175.0,0.0,0.0,79.6
3.48,79.4,44521.85,90.0,175.0,0.0,0.0,80.2
3.59,79.8,44493.37,90.0,175.0,0.0,0.0,81.1
3.69,80.3,44457.76,90.0,175.1,0.0,0.0,82.3
3.80,80.9,44429.27,90.0,175.1,0.0,0.0,83.5
3.90,81.5,44400.79,90.0,175.2,0.0,0.0,84.9
4.01,82.4,44365.17,90.0,175.2,0.0,0.0,86.9
4.11,83.2,44336.69,90.0,175.3,0.0,0.0,88.7
4.22,84.1,44308.20,90.0,175.3,0.0,0.0,90.7
4.33,85.0,44279.71,90.0,175.4,0.0,0.0,92.9
4.43,86.4,44244.11,90.0,175.5,0.0,0.0,95.9
4.53,88.1,44201.37,90.0,175.6,0.0,0.0,99.8
4.64,90.0,44158.64,90.0,175.8,0.0,0.0,104.2
4.74,91.8,44123.04,90.0,175.9,0.0,0.0,108.2
4.85,93.6,44087.43,90.0,176.0,0.0,0.0,112.4
4.96,96.0,44044.70,89.9,176.2,0.0,0.0,117.9
5.06,97.7,44016.21,90.0,176.3,0.0,0.0,121.8
5.17,100.0,43980.60,89.9,176.5,0.0,0.0,126.9
5.27,102.3,43944.99,89.9,176.7,0.0,0.0,132.2
5.37,104.8,43909.38,89.9,176.8,0.0,0.0,137.8
5.48,107.4,43873.77,89.9,177.0,0.0,0.0,143.7
5.58,110.2,43838.16,89.9,177.2,0.0,0.0,149.9
5.69,113.0,43802.55,89.9,177.3,0.0,0.0,156.3
5.80,116.6,43759.82,89.9,177.6,0.0,0.0,164.4
5.91,119.8,43724.21,89.9,177.8,0.0,0.0,171.4
6.01,123.7,43681.48,89.9,178.1,0.0,0.0,180.2
6.11,126.4,43653.00,89.9,178.3,0.0,0.0,186.3
6.22,130.6,43610.27,89.9,178.5,0.0,0.0,195.8
6.33,134.2,43574.66,89.9,178.8,0.0,0.0,204.1
6.43,138.0,43539.05,89.9,179.1,0.0,0.0,212.6
6.54,139.5,43524.80,89.9,179.2,0.0,0.0,216.1
6.64,144.3,43482.07,89.9,179.5,0.0,0.0,227.0
6.75,147.5,43453.59,89.9,179.7,0.0,0.0,234.5
6.86,151.7,43417.98,89.9,180.0,0.0,0.0,244.2
6.97,157.8,43368.12,89.9,180.5,0.0,0.0,258.3
7.07,161.4,43339.64,89.9,180.7,0.0,0.0,266.5
7.18,167.0,43296.91,89.9,181.1,0.0,0.0,279.1
7.29,172.7,43254.18,89.9,181.5,0.0,0.0,292.1
7.39,177.6,43218.57,89.9,181.8,0.0,0.0,303.2
7.50,182.6,43182.96,89.9,182.1,0.0,0.0,314.6
7.60,187.8,43147.35,89.9,182.5,0.0,0.0,326.3
7.71,194.1,43104.62,89.9,182.9,0.0,0.0,340.7
7.82,199.5,43069.01,89.9,183.4,0.0,0.0,353.0
7.93,205.1,43033.40,89.9,183.7,0.0,0.0,365.6
8.04,211.9,42990.67,89.9,184.1,0.0,0.0,381.1
8.15,217.7,42955.06,89.9,184.5,0.0,0.0,394.4
8.26,223.6,42912.33,89.9,185.0,0.0,0.0,410.9
8.36,231.0,42876.72,89.9,185.4,0.0,0.0,424.9
8.47,235.9,42848.23,89.9,185.8,0.0,0.0,436.5
8.57,242.3,42812.62,89.9,186.2,0.0,0.0,451.1
8.68,247.4,42784.14,89.9,186.6,0.0,0.0,463.1
8.79,252.7,42755.65,89.9,187.0,0.0,0.0,475.3
8.89,258.0,42727.16,89.9,187.4,0.0,0.0,487.6
9.00,263.4,42698.68,89.9,187.6,0.0,0.0,500.0
9.11,268.9,42670.19,89.9,188.0,0.0,0.0,512.6
9.21,274.4,42641.70,89.9,188.4,0.0,0.0,525.4
9.31,282.9,42598.97,89.9,188.9,0.0,0.0,544.7
9.41,290.1,42563.36,89.9,189.4,0.0,0.0,561.2
9.51,297.5,42527.75,89.9,189.9,0.0,0.0,577.9
9.62,305.0,42485.02,89.9,190.5,0.0,0.0,598.3
9.73,314.1,42449.41,89.9,191.0,0.0,0.0,615.7
9.83,321.8,42413.80,89.9,191.5,0.0,0.0,633.4
9.94,331.3,42371.07,89.9,192.2,0.0,0.0,655.1
10.04,337.7,42342.59,89.9,192.5,0.0,0.0,669.9
10.14,347.5,42299.86,89.9,193.2,0.0,0.0,692.4
10.25,355.7,42264.25,89.9,193.7,0.0,0.0,711.5
10.36,365.8,42221.52,89.9,194.4,0.0,0.0,734.9
10.47,374.4,42185.91,89.9,194.9,0.0,0.0,754.8
10.58,383.1,42150.30,89.9,195.5,0.0,0.0,774.9
10.68,393.7,42107.57,89.8,196.2,0.0,0.0,799.3
10.78,402.6,42071.96,89.8,196.7,0.0,0.0,819.9
10.89,411.7,42036.35,89.8,197.3,0.0,0.0,840.7
11.00,420.9,42000.74,89.8,197.9,0.0,0.0,861.7
11.10,432.2,41958.01,89.8,198.6,0.0,0.0,887.2
11.20,439.7,41922.40,89.8,199.2,0.0,0.0,908.9
11.31,453.2,41879.67,89.8,199.9,0.0,0.0,935.2
11.42,461.0,41851.18,89.8,200.4,0.0,0.0,953.1
11.52,472.9,41808.45,89.8,201.1,0.0,0.0,980.3
11.63,482.9,41772.84,89.8,201.9,0.0,0.0,1003.3
11.74,488.9,41751.48,89.8,202.4,0.0,0.0,1017.3
11.85,503.3,41701.62,89.8,203.0,0.0,0.0,1050.4
11.96,513.7,41658.89,89.8,203.8,0.0,0.0,1079.3
12.06,524.2,41630.41,89.8,204.3,0.0,0.0,1098.8
12.16,532.7,41601.92,89.8,204.9,0.0,0.0,1118.5
12.27,547.8,41552.07,89.8,205.9,0.0,0.0,1153.2
12.38,558.8,41516.46,89.8,206.5,0.0,0.0,1178.3
12.49,572.0,41473.73,89.8,207.3,0.0,0.0,1208.7
12.59,581.0,41445.24,89.8,207.8,0.0,0.0,1229.2
12.69,594.6,41402.51,89.8,208.6,0.0,0.0,1260.2
12.79,606.0,41366.90,89.8,209.3,0.0,0.0,1286.3
12.90,617.6,41331.29,89.8,210.0,0.0,0.0,1312.8
13.00,627.0,41302.81,89.8,210.5,0.0,0.0,1334.2
13.11,638.8,41267.20,89.8,211.4,0.0,0.0,1361.3
13.21,653.1,41224.46,89.8,212.1,0.0,0.0,1394.2
13.32,667.6,41181.73,89.8,212.9,0.0,0.0,1427.6
13.43,679.9,41146.12,89.8,213.8,0.0,0.0,1455.8
13.53,692.2,41110.52,89.8,214.4,0.0,0.0,1484.3
13.63,707.2,41067.79,89.8,215.3,0.0,0.0,1518.8
13.74,717.3,41039.30,89.8,215.8,0.0,0.0,1542.1
13.84,732.6,40996.57,89.8,216.7,0.0,0.0,1577.2
13.95,742.9,40968.08,89.8,217.3,0.0,0.0,1600.8
14.06,758.5,40925.35,89.8,218.2,0.0,0.0,1636.4
14.17,774.3,40882.62,89.8,219.1,0.0,0.0,1672.3
14.27,787.6,40847.01,89.8,219.8,0.0,0.0,1702.6
14.37,798.3,40818.53,89.8,220.4,0.0,0.0,1727.0
14.47,811.8,40782.91,89.8,221.2,0.0,0.0,1757.8
14.58,828.2,40740.18,89.8,222.1,0.0,0.0,1795.2
14.68,842.0,40704.58,89.8,223.0,0.0,0.0,1826.8
14.78,855.9,40668.97,89.8,223.7,0.0,0.0,1858.7
14.88,867.1,40640.48,89.8,224.3,0.0,0.0,1884.4
14.99,884.1,40597.75,89.8,225.2,0.0,0.0,1923.4
15.10,901.3,40555.02,89.8,226.2,0.0,0.0,1962.9
15.21,918.6,40512.29,89.8,227.3,0.0,0.0,2002.8
15.31,933.2,40476.68,89.8,227.9,0.0,0.0,2036.2
15.41,947.9,40441.07,89.8,228.7,0.0,0.0,2069.9
15.52,959.8,40412.58,89.8,229.4,0.0,0.0,2096.9
15.63,980.7,40362.73,89.8,230.5,0.0,0.0,2144.7
15.73,992.8,40334.24,89.8,231.1,0.0,0.0,2172.2
15.87,1014.1,40284.39,89.8,232.3,0.0,0.0,2220.8
15.98,1032.6,40241.66,89.8,233.2,0.0,0.0,2263.0
16.08,1048.1,40206.05,89.8,234.1,0.0,0.0,2298.5
16.18,1063.8,40170.44,89.8,234.9,0.0,0.0,2334.3
16.31,1082.7,40127.71,89.8,235.9,0.0,0.0,2377.7
16.43,1101.8,40084.98,89.8,236.9,0.0,0.0,2421.6
16.53,1117.9,40049.37,89.8,237.7,0.0,0.0,2458.5
16.63,1134.1,40013.76,89.8,238.6,0.0,0.0,2495.8
16.74,1153.7,39971.03,89.8,239.8,0.0,0.0,2540.7
16.86,1173.5,39928.30,89.8,240.6,0.0,0.0,2585.9
16.96,1190.1,39892.69,89.8,241.6,0.0,0.0,2623.8
17.07,1206.9,39857.09,89.8,242.3,0.0,0.0,2661.9
17.17,1223.8,39821.47,89.8,243.2,0.0,0.0,2700.3
17.29,1244.2,39778.74,89.8,244.2,0.0,0.0,2746.7
17.40,1264.8,39736.01,89.8,245.2,0.0,0.0,2793.6
17.50,1282.1,39700.41,89.8,246.1,0.0,0.0,2833.0
17.63,1303.0,39657.68,89.8,247.1,0.0,0.0,2880.8
17.74,1324.1,39614.94,89.8,248.2,0.0,0.0,2929.0
17.86,1345.3,39572.21,89.8,249.2,0.0,0.0,2977.6
17.96,1363.2,39536.61,89.8,250.1,0.0,0.0,3018.5
18.06,1381.2,39501.00,89.8,251.0,0.0,0.0,3059.7
18.18,1399.3,39465.39,89.8,252.1,0.0,0.0,3101.1
18.28,1417.5,39429.78,89.8,252.8,0.0,0.0,3142.7
18.40,1439.6,39387.05,89.8,253.9,0.0,0.0,3192.8
18.52,1461.8,39344.32,89.7,254.9,0.0,0.0,3243.2
18.63,1484.2,39301.59,89.7,256.0,0.0,0.0,3294.0
18.73,1503.0,39265.98,89.7,256.9,0.0,0.0,3336.6
18.85,1525.7,39223.25,89.6,258.0,0.0,0.0,3388.2
18.97,1548.6,39180.52,89.6,259.1,0.0,0.0,3440.1
19.08,1567.8,39144.91,89.5,260.0,0.0,0.0,3483.7
19.19,1591.0,39102.18,89.5,261.1,0.0,0.0,3536.4
19.30,1610.5,39066.57,89.4,262.0,0.0,0.0,3580.7
19.41,1634.0,39023.84,89.4,263.1,0.0,0.0,3634.1
19.53,1657.7,38981.11,89.4,264.3,0.0,0.0,3687.9
19.63,1677.6,38945.50,89.3,265.2,0.0,0.0,3733.0
19.74,1697.6,38909.89,89.3,266.1,0.0,0.0,3778.1
19.85,1721.8,38867.16,89.3,267.2,0.0,0.0,3832.6
19.96,1742.1,38831.55,89.2,268.2,0.0,0.0,3878.2
20.07,1766.6,38788.82,89.2,269.3,0.0,0.0,3933.2
20.19,1791.2,38746.09,89.2,270.4,0.0,0.0,3988.6
20.31,1816.1,38703.36,89.1,271.5,0.0,0.0,4044.4
20.42,1836.9,38667.75,89.1,272.5,0.0,0.0,4091.3
20.54,1862.0,38625.02,89.0,273.6,0.0,0.0,4147.9
20.65,1887.4,38582.29,89.0,274.7,0.0,0.0,4205.0
20.76,1908.6,38546.68,88.9,275.7,0.0,0.0,4252.9
20.86,1929.9,38511.07,88.9,276.8,0.0,0.0,4301.0
20.99,1955.7,38468.34,88.8,277.8,0.0,0.0,4359.0
21.10,1981.7,38425.61,88.8,278.9,0.0,0.0,4417.2
21.21,2007.8,38382.88,88.7,280.3,0.0,0.0,4475.6
21.34,2034.1,38340.14,88.7,281.2,0.0,0.0,4534.2
21.46,2060.6,38297.41,88.6,282.4,0.0,0.0,4593.1
21.56,2082.7,38261.80,88.6,283.3,0.0,0.0,4642.5
21.66,2105.0,38226.20,88.5,284.3,0.0,0.0,4692.1
21.77,2132.0,38183.46,88.5,285.5,0.0,0.0,4752.0
21.88,2154.5,38147.86,88.4,286.4,0.0,0.0,4802.3
21.98,2177.2,38112.25,88.4,287.4,0.0,0.0,4852.9
22.10,2204.6,38069.52,88.3,288.6,0.0,0.0,4913.9
22.23,2232.1,38026.79,88.3,289.8,0.0,0.0,4975.2
22.34,2255.2,37991.18,88.3,290.7,0.0,0.0,5026.5
22.44,2283.0,37948.45,88.2,291.9,0.0,0.0,5088.3
22.55,2311.0,37905.71,88.1,293.3,0.0,0.0,5150.2
22.66,2334.5,37870.11,88.1,294.1,0.0,0.0,5201.9
22.77,2358.0,37834.50,88.0,295.0,0.0,0.0,5253.8
22.87,2386.5,37791.77,88.0,296.2,0.0,0.0,5316.3
22.98,2410.3,37756.16,87.9,297.2,0.0,0.0,5368.7
23.08,2434.3,37720.55,87.9,298.2,0.0,0.0,5421.4
23.20,2463.1,37677.82,87.8,299.3,0.0,0.0,5485.0
23.30,2487.3,37642.21,87.8,300.3,0.0,0.0,5538.3
23.42,2516.5,37599.48,87.7,301.5,0.0,0.0,5602.7
23.54,2545.9,37556.75,87.7,302.7,0.0,0.0,5667.5
23.66,2575.4,37514.02,87.6,303.9,0.0,0.0,5732.5
23.79,2605.1,37471.29,87.5,305.1,0.0,0.0,5797.7
23.91,2629.9,37435.68,87.5,306.1,0.0,0.0,5852.2
24.01,2649.9,37407.19,87.4,306.9,0.0,0.0,5895.8
24.11,2669.9,37378.70,87.4,307.7,0.0,0.0,5939.5
24.23,2700.1,37335.97,87.3,308.9,0.0,0.0,6005.3
24.35,2725.4,37300.36,87.3,309.9,0.0,0.0,6060.3
24.47,2755.9,37257.63,87.2,311.1,0.0,0.0,6126.7
24.58,2786.5,37214.90,87.2,312.3,0.0,0.0,6193.6
24.70,2812.2,37179.29,87.1,313.5,0.0,0.0,6249.6
24.82,2838.0,37143.68,87.1,314.3,0.0,0.0,6305.9
24.92,2863.8,37108.07,87.0,315.3,0.0,0.0,6362.5
25.05,2895.1,37065.34,87.0,316.7,0.0,0.0,6430.6
25.15,2921.2,37029.73,86.9,317.5,0.0,0.0,6487.6
25.28,2947.4,36994.12,86.9,318.5,0.0,0.0,6544.6
25.42,2963.2,36972.76,86.8,319.3,0.0,0.0,6578.9
25.58,2984.4,36944.27,86.8,319.9,0.0,0.0,6624.6
25.70,3010.9,36908.66,86.7,320.9,0.0,0.0,6681.8
25.80,3032.1,36880.18,86.7,321.9,0.0,0.0,6727.7
25.93,3064.2,36837.45,86.6,322.9,0.0,0.0,6796.7
26.05,3096.4,36794.71,86.6,324.1,0.0,0.0,6866.1
26.15,3118.0,36766.23,86.5,324.9,0.0,0.0,6912.6
26.27,3139.6,36737.74,86.5,325.9,0.0,0.0,6959.3
26.39,3161.3,36709.25,86.4,326.6,0.0,0.0,7006.2
26.50,3194.0,36666.52,86.4,327.8,0.0,0.0,7076.9
26.61,3215.9,36638.04,86.3,328.6,0.0,0.0,7124.4
26.74,3237.8,36609.55,86.3,329.4,0.0,0.0,7172.0
26.86,3265.4,36573.94,86.2,330.4,0.0,0.0,7231.6
26.97,3281.9,36552.57,86.2,331.1,0.0,0.0,7267.5
27.09,3315.2,36509.84,86.1,332.5,0.0,0.0,7339.2
27.21,3337.5,36481.36,86.1,333.1,0.0,0.0,7387.1
27.32,3359.8,36452.87,86.0,334.1,0.0,0.0,7435.1
27.44,3387.8,36417.26,86.0,334.9,0.0,0.0,7495.1
27.55,3415.9,36381.65,85.9,336.1,0.0,0.0,7555.3
27.66,3449.8,36338.92,85.8,337.4,0.0,0.0,7627.7
27.79,3472.5,36310.43,85.8,338.0,0.0,0.0,7676.3
27.90,3500.9,36274.82,85.7,339.0,0.0,0.0,7737.2
28.01,3523.7,36246.34,85.7,339.8,0.0,0.0,7786.1
28.13,3546.6,36217.85,85.6,340.7,0.0,0.0,7835.3
28.25,3575.4,36182.24,85.6,341.7,0.0,0.0,7897.0
28.37,3592.6,36160.88,85.5,342.3,0.0,0.0,7934.1
28.48,3615.7,36132.39,85.5,343.1,0.0,0.0,7983.6
28.60,3650.5,36089.66,85.4,344.6,0.0,0.0,8057.9
28.71,3673.8,36061.17,85.4,345.2,0.0,0.0,8107.4
28.84,3703.0,36025.56,85.3,346.2,0.0,0.0,8169.2
28.95,3726.4,35997.07,85.3,347.0,0.0,0.0,8218.5
29.05,3755.8,35961.47,85.2,348.0,0.0,0.0,8280.1
29.16,3779.3,35932.98,85.2,348.8,0.0,0.0,8329.3
29.28,3808.9,35897.37,85.1,349.8,0.0,0.0,8390.7
29.41,3832.6,35868.88,85.1,350.5,0.0,0.0,8439.8
29.54,3868.3,35826.15,85.0,351.9,0.0,0.0,8513.4
29.66,3892.2,35797.67,84.9,352.5,0.0,0.0,8562.5
29.77,3922.1,35762.06,84.8,353.5,0.0,0.0,8623.8
29.90,3952.1,35726.45,84.8,354.6,0.0,0.0,8685.2
30.02,3970.2,35705.08,84.7,355.0,0.0,0.0,8722.0
30.16,3988.3,35683.72,84.7,355.8,0.0,0.0,8758.7
30.27,4012.5,35655.23,84.7,356.4,0.0,0.0,8807.6
30.38,4048.9,35612.50,84.6,357.5,0.0,0.0,8880.6
30.49,4073.2,35584.01,84.5,358.2,0.0,0.0,8928.9
30.60,4103.7,35548.40,84.5,359.1,0.0,0.0,8988.9
30.71,4134.3,35512.80,84.4,360.0,0.0,0.0,9048.6
30.81,4158.8,35484.31,84.4,360.7,0.0,0.0,9096.1
30.91,4183.4,35455.82,84.3,361.4,0.0,0.0,9143.5
31.04,4214.2,35420.21,84.2,362.7,0.0,0.0,9202.5
31.19,4232.8,35398.85,84.2,362.8,0.0,0.0,9237.8
31.30,4263.7,35363.24,84.1,363.7,0.0,0.0,9296.6
31.43,4288.5,35334.75,84.1,364.4,0.0,0.0,9343.5
31.54,4307.2,35313.39,84.0,365.1,0.0,0.0,9378.7
31.66,4332.1,35284.90,84.0,365.8,0.0,0.0,9425.6
31.77,4350.8,35263.53,83.9,366.5,0.0,0.0,9460.8
31.94,4375.8,35235.05,83.9,366.8,0.0,0.0,9507.6
32.07,4400.8,35206.56,83.8,367.5,0.0,0.0,9554.3
32.22,4425.9,35178.07,83.8,368.1,0.0,0.0,9600.6
32.32,4457.4,35142.46,83.7,369.1,0.0,0.0,9658.2
32.45,4470.0,35128.22,83.7,369.3,0.0,0.0,9681.1
32.57,4501.5,35092.61,83.6,370.1,0.0,0.0,9738.1
32.70,4545.8,35042.76,83.5,371.2,0.0,0.0,9817.3
32.81,4583.9,35000.03,83.4,372.1,0.0,0.0,9884.7
32.94,4622.1,34957.30,83.3,373.0,0.0,0.0,9951.8
33.07,4660.3,34914.57,83.3,374.0,0.0,0.0,10018.9
33.18,4685.9,34886.08,83.2,374.7,0.0,0.0,10063.6
33.28,4711.5,34857.59,83.1,375.2,0.0,0.0,10108.3
33.41,4756.5,34807.74,83.0,376.3,0.0,0.0,10186.9
33.51,4782.2,34779.25,83.0,376.9,0.0,0.0,10231.9
33.62,4814.4,34743.64,82.9,377.7,0.0,0.0,10288.3
33.72,4846.7,34708.04,82.9,378.4,0.0,0.0,10344.6
33.83,4885.6,34665.30,82.8,379.4,0.0,0.0,10411.7
33.95,4918.0,34629.70,82.7,380.1,0.0,0.0,10467.2
34.05,4944.0,34601.21,82.6,380.7,0.0,0.0,10511.3
34.17,4976.6,34565.60,82.5,381.4,0.0,0.0,10566.2
34.28,5002.7,34537.11,82.5,382.0,0.0,0.0,10610.0
34.38,5035.4,34501.50,82.4,382.7,0.0,0.0,10664.7
34.49,5068.1,34465.89,82.3,383.6,0.0,0.0,10719.3
34.61,5107.4,34423.16,82.2,384.3,0.0,0.0,10785.0
34.72,5140.3,34387.55,82.2,385.1,0.0,0.0,10840.0
34.82,5173.2,34351.95,82.1,385.8,0.0,0.0,10895.1
34.94,5206.2,34316.34,82.0,386.5,0.0,0.0,10950.6
35.04,5239.3,34280.73,81.9,387.3,0.0,0.0,11006.4
35.16,5279.0,34238.00,81.9,388.2,0.0,0.0,11073.1
35.29,5318.9,34195.27,81.8,389.1,0.0,0.0,11139.4
35.41,5352.1,34159.66,81.7,389.8,0.0,0.0,11194.2
35.52,5392.1,34116.93,81.6,390.8,0.0,0.0,11259.7
35.64,5425.5,34081.32,81.5,391.4,0.0,0.0,11314.1
35.74,5472.3,34031.46,81.4,392.3,0.0,0.0,11390.2
35.86,5499.1,34002.98,81.4,392.9,0.0,0.0,11433.7
35.97,5539.4,33960.25,81.3,393.8,0.0,0.0,11499.3
36.08,5579.8,33917.52,81.2,394.6,0.0,0.0,11565.3
36.19,5613.5,33881.91,81.2,395.4,0.0,0.0,11620.7
36.29,5640.5,33853.42,81.1,396.0,0.0,0.0,11665.3
36.42,5667.5,33824.93,81.0,396.6,0.0,0.0,11710.2
36.52,5694.6,33796.45,81.0,397.2,0.0,0.0,11755.5
36.64,5735.3,33753.71,80.9,398.1,0.0,0.0,11823.5
36.76,5776.1,33710.98,80.8,399.0,0.0,0.0,11891.2
36.88,5816.9,33668.25,80.8,399.9,0.0,0.0,11958.5
36.98,5844.2,33639.77,80.7,400.6,0.0,0.0,12003.2
37.10,5871.5,33611.28,80.6,401.0,0.0,0.0,12047.9
37.22,5905.7,33575.67,80.6,401.8,0.0,0.0,12103.7
37.34,5940.0,33540.06,80.5,402.5,0.0,0.0,12159.7
37.45,5967.4,33511.57,80.4,403.2,0.0,0.0,12204.6
37.56,6008.7,33468.84,80.4,404.0,0.0,0.0,12272.4
37.66,6050.0,33426.11,80.3,404.9,0.0,0.0,12340.6
37.77,6077.6,33397.62,80.2,405.5,0.0,0.0,12386.5
37.89,6126.0,33347.77,80.2,406.7,0.0,0.0,12467.7
38.01,6160.7,33312.16,80.1,407.4,0.0,0.0,12526.2
38.11,6188.4,33283.68,80.0,408.0,0.0,0.0,12573.0
38.22,6216.2,33255.19,80.0,408.6,0.0,0.0,12619.6
38.32,6251.0,33219.58,80.0,409.5,0.0,0.0,12677.8
38.45,6292.8,33176.85,79.9,410.3,0.0,0.0,12747.4
38.57,6327.8,33141.24,79.8,411.1,0.0,0.0,12805.5
38.69,6362.8,33105.63,79.8,411.8,0.0,0.0,12863.8
38.79,6404.8,33062.90,79.7,412.8,0.0,0.0,12934.1
38.91,6439.9,33027.29,79.7,413.5,0.0,0.0,12993.0
39.02,6475.1,32991.68,79.6,414.5,0.0,0.0,13052.3
39.14,6524.5,32941.83,79.5,415.4,0.0,0.0,13136.2
39.24,6552.7,32913.34,79.5,416.1,0.0,0.0,13184.6
39.36,6588.1,32877.73,79.4,416.9,0.0,0.0,13245.6
39.48,6616.5,32849.25,79.4,417.5,0.0,0.0,13294.7
39.59,6652.0,32813.64,79.3,418.5,0.0,0.0,13356.0
39.70,6694.7,32770.91,79.2,419.3,0.0,0.0,13429.1
39.80,6730.3,32735.30,79.1,420.1,0.0,0.0,13489.8
39.91,6766.0,32699.69,79.0,420.9,0.0,0.0,13550.4
40.02,6801.8,32664.08,78.9,421.7,0.0,0.0,13610.9
40.14,6837.6,32628.47,78.8,422.5,0.0,0.0,13671.4
40.24,6880.7,32585.74,78.7,423.5,0.0,0.0,13744.3
40.34,6902.2,32564.38,78.7,424.0,0.0,0.0,13781.0
40.46,6938.2,32528.77,78.6,424.8,0.0,0.0,13842.4
40.57,6974.3,32493.16,78.5,425.7,0.0,0.0,13904.3
40.68,7017.7,32450.43,78.5,426.7,0.0,0.0,13979.5
40.78,7061.1,32407.70,78.4,427.7,0.0,0.0,14055.3
40.89,7090.1,32379.21,78.4,428.4,0.0,0.0,14105.8
40.99,7119.2,32350.72,78.3,429.1,0.0,0.0,14156.2
41.11,7155.6,32315.11,78.3,430.1,0.0,0.0,14219.1
41.23,7206.6,32265.26,78.2,431.1,0.0,0.0,14307.1
41.34,7235.9,32236.77,78.1,431.9,0.0,0.0,14369.9
41.45,7265.1,32208.29,78.1,432.5,0.0,0.0,14407.7
41.58,7301.8,32172.68,78.0,433.2,0.0,0.0,14470.8
41.69,7345.8,32129.95,77.9,434.2,0.0,0.0,14546.9
41.79,7382.6,32094.34,77.8,435.1,0.0,0.0,14610.7
41.92,7419.5,32058.73,77.8,435.9,0.0,0.0,14674.9
42.04,7471.2,32008.88,77.6,437.3,0.0,0.0,14765.6
42.16,7508.2,31973.27,77.5,438.0,0.0,0.0,14831.1
42.28,7552.7,31930.54,77.4,439.1,0.0,0.0,14910.4
42.40,7589.9,31894.93,77.3,440.0,0.0,0.0,14976.6
42.52,7634.6,31852.20,77.2,441.3,0.0,0.0,15055.7
42.63,7679.3,31809.47,77.1,442.1,0.0,0.0,15134.5
42.73,7716.7,31773.86,77.1,443.2,0.0,0.0,15200.1
42.86,7761.7,31731.13,77.0,444.1,0.0,0.0,15278.9
42.99,7799.2,31695.52,76.9,445.0,0.0,0.0,15344.9
43.09,7829.3,31667.03,76.8,445.7,0.0,0.0,15398.0
43.22,7874.5,31624.30,76.8,447.0,0.0,0.0,15478.2
43.32,7912.3,31588.69,76.7,447.7,0.0,0.0,15545.7
43.45,7957.7,31545.96,76.6,448.8,0.0,0.0,15627.7
43.56,7988.0,31517.47,76.6,449.6,0.0,0.0,15682.9
43.69,8025.9,31481.86,76.5,450.5,0.0,0.0,15752.4
43.80,8071.6,31439.13,76.4,451.7,0.0,0.0,15835.7
43.90,8109.7,31403.52,76.3,452.6,0.0,0.0,15904.9
44.01,8155.5,31360.79,76.2,453.7,0.0,0.0,15987.7
44.12,8186.2,31332.31,76.2,454.7,0.0,0.0,16042.9
44.25,8216.8,31303.82,76.1,455.2,0.0,0.0,16098.2
44.38,8262.9,31261.09,76.0,456.7,0.0,0.0,16181.3
44.49,8293.7,31232.60,76.0,457.1,0.0,0.0,16237.0
44.61,8347.6,31182.75,75.9,458.4,0.0,0.0,16335.2
44.71,8378.5,31154.26,75.8,459.2,0.0,0.0,16391.8
44.81,8417.2,31118.65,75.7,460.2,0.0,0.0,16463.2
44.94,8471.5,31068.80,75.6,461.6,0.0,0.0,16564.4
